id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals,n_langs,mpd,mpd_missing,mpd_low_cov,gb_complete_cov,gb_incomplete_cov,gb_coverage,gb_missing
2023.acl-long.210,MultiTACRED: A Multilingual Version of the TAC Relation Extraction Dataset,2023-01-01,https://aclanthology.org/2023.acl-long.210/,acl,,"Relation extraction (RE) is a fundamental task in information extraction, whose extension to multilingual settings has been hindered by the lack of supervised resources comparable in size to large English datasets such as TACRED (Zhang et al., 2017). To address this gap, we introduce the MultiTACRED dataset, covering 12 typologically diverse languages from 9 language families, which is created by machine-translating TACRED instances and automatically projecting their entity annotations. We analyze translation and annotation projection quality, identify error categories, and experimentally evaluate fine-tuned pretrained mono- and multilingual language models in common transfer learning scenarios. Our analyses show that machine translation is a viable strategy to transfer RE instances, with native speakers judging more than 83% of the translated instances to be linguistically and semantically acceptable. We find monolingual RE model performance to be comparable to the English original for many of the target languages, and that multilingual models trained on a combination of English and target language data can outperform their monolingual counterparts. However, we also observe a variety of translation and annotation projection errors, both due to the MT systems and linguistic features of the target languages, such as pronoun-dropping, compounding and inflection, that degrade dataset quality and RE model performance.",1,1,1,1,1,1,b,b,1,1,l,l,"ara,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,zho","ara,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,zho","ara,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,zho","arb,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,cmn",12,0.579813636363636,0,0,164,31,0.841025641025641,0
2023.acl-long.235,MASSIVE: A 1M-Example Multilingual Natural Language Understanding Dataset with 51 Typologically-Diverse Languages,2023-01-01,https://aclanthology.org/2023.acl-long.235/,acl,,"We present the MASSIVE dataset–Multilingual Amazon Slu resource package (SLURP) for Slot-filling, Intent classification, and Virtual assistant Evaluation. MASSIVE contains 1M realistic, parallel, labeled virtual assistant utterances spanning 51 languages, 18 domains, 60 intents, and 55 slots. MASSIVE was created by tasking professional translators to localize the English-only SLURP dataset into 50 typologically diverse languages from 29 genera. We also present modeling results on XLM-R and mT5, including exact match accuracy, intent classification accuracy, and slot-filling F1 score. We have released our dataset, modeling code, and models publicly.",1,1,1,1,1,1,b,b,0,1,i,i,"afr,amh,ara,aze,ben,cmn,cym,dan,deu,ell,eng,fas,fil,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,msa,mya,nld,nob,pol,por,ron,rus,slv,spa,sqi,swa,swe,tam,tel,tha,tur,urd,vie","afr,amh,ara,aze,ben,cat,cat,cym,dan,deu,ell,eng,fas,fil,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,msa,mya,nld,nor,pol,por,ron,rus,slv,spa,sqi,swa,swe,tam,tel,tha,tur,urd,vie,zho,zho","afr,amh,ara,aze,ben,cat,cmn,cym,dan,deu,ell,eng,fas,fil,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,msa,mya,nld,nob,pol,por,ron,rus,slv,spa,sqi,swa,swe,tam,tel,tha,tur,urd,vie","afr,amh,arb,azj,ben,cat,cmn,cym,dan,deu,ell,eng,pes,tgl,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,zsm,mya,nld,nor,pol,por,ron,rus,slv,spa,sqi,swh,swe,tam,tel,tha,tur,urd,vie",51,0.642887918367347,0,1,179,16,0.917948717948718,0
2023.acl-long.337,Using Neural Machine Translation for Generating Diverse Challenging Exercises for Language Learner,2023-01-01,https://aclanthology.org/2023.acl-long.337/,acl,,"We propose a novel approach to automatically generate distractors for cloze exercises for English language learners, using round-trip neural machine translation. A carrier sentence is translated from English into another (pivot) language and back, and distractors are produced by aligning the original sentence with its round-trip translation. We make use of 16 linguistically-diverse pivots and generate hundreds of translation hypotheses in each direction. We show that using hundreds of translations allows us to generate a rich set of challenging distractors. Moreover, we find that typologically unrelated language pivots contribute more diverse candidate distractors, compared to language pivots that are closely related. We further evaluate the use of machine translation systems of varying quality and find that better quality MT systems produce more challenging distractors. Finally, we conduct a study with language learners, demonstrating that the automatically generated distractors are of the same difficulty as the gold distractors produced by human experts.",1,1,1,1,1,0,b,b,0,1,n,f,"ara,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,zho","ara,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,zho","ara,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,zho","arb,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,cmn",16,0.620637362637363,0,2,164,31,0.841025641025641,0
2023.acl-long.396,Empowering Cross-lingual Behavioral Testing of NLP Models with Typological Features,2023-01-01,https://aclanthology.org/2023.acl-long.396/,acl,,"A challenge towards developing NLP systems for the world’s languages is understanding how they generalize to typological differences relevant for real-world applications. To this end, we propose M2C, a morphologically-aware framework for behavioral testing of NLP models. We use M2C to generate tests that probe models’ behavior in light of specific linguistic features in 12 typologically diverse languages. We evaluate state-of-the-art language models on the generated tests. While models excel at most tests in English, we highlight generalization failures to specific typological characteristics such as temporal expressions in Swahili and compounding possessives in Finish. Our findings motivate the development of models that address these blind spots.",1,1,1,0,0,0,p,b,1,1,i,i,"ara,cmn,deu,eng,fin,fra,ita,rus,slk,spa,swa,swe","ara,deu,eng,fin,fra,ita,rus,slk,spa,swa,swe,zho","ara,cmn,deu,eng,fin,fra,ita,rus,slk,spa,swa,swe","arb,cmn,deu,eng,fin,fra,ita,rus,slk,spa,swh,swe",12,0.566767272727273,0,1,154,41,0.78974358974359,0
2023.acl-long.609,MasakhaPOS: Part-of-Speech Tagging for Typologically Diverse African languages,2023-01-01,https://aclanthology.org/2023.acl-long.609/,acl,,"In this paper, we present AfricaPOS, the largest part-of-speech (POS) dataset for 20 typologically diverse African languages. We discuss the challenges in annotating POS for these languages using the universal dependencies (UD) guidelines. We conducted extensive POS baseline experiments using both conditional random field and several multilingual pre-trained language models. We applied various cross-lingual transfer models trained with data available in the UD. Evaluating on the AfricaPOS dataset, we show that choosing the best transfer language(s) in both single-source and multi-source setups greatly improves the POS tagging performance of the target languages, in particular when combined with parameter-fine-tuning methods. Crucially, transferring knowledge from a language that matches the language family and morphosyntactic properties seems to be more effective for POS tagging in unseen languages.",1,1,1,1,1,1,b,b,1,1,i,l,"bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul","bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul","bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul","bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swh,tsn,aka,wol,xho,yor,zul",20,0.637055555555556,0,2,131,64,0.671794871794872,0
2023.acl-long.657,SLABERT Talk Pretty One Day: Modeling Second Language Acquisition with BERT,2023-01-01,https://aclanthology.org/2023.acl-long.657/,acl,,"Second language acquisition (SLA) research has extensively studied cross-linguistic transfer, the influence of linguistic structure of a speaker’s native language [L1] on the successful acquisition of a foreign language [L2]. Effects of such transfer can be positive (facilitating acquisition) or negative (impeding acquisition). We find that NLP literature has not given enough attention to the phenomenon of negative transfer. To understand patterns of both positive and negative transfer between L1 and L2, we model sequential second language acquisition in LMs. Further, we build a Mutlilingual Age Ordered CHILDES (MAO-CHILDES)—a dataset consisting of 5 typologically diverse languages, i.e., German, French, Polish, Indonesian, and Japanese—to understand the degree to which native Child-Directed Speech (CDS) [L1] can help or conflict with English language acquisition [L2]. To examine the impact of native CDS, we use the TILT-based cross lingual transfer learning approach established by Papadimitriou and Jurafsky (2020) and find that, as in human SLA, language family distance predicts more negative transfer. Additionally, we find that conversational speech data shows greater facilitation for language acquisition than scripted speech data. Our findings call for further research using our novel Transformer-based SLA models and we would like to encourage it by releasing our code, data, and models.",1,1,1,1,1,0,b,b,0,1,f,l,"deu,fra,ind,jpn,pol","deu,fra,ind,jpn,pol","deu,fra,ind,jpn,pol","deu,fra,ind,jpn,pol",5,0.60819,0,0,128,67,0.656410256410256,0
K19-1021,On the Importance of Subword Information for Morphological Tasks in Truly Low-Resource Languages,2019-01-01,https://aclanthology.org/K19-1021/,conll,,"Recent work has validated the importance of subword information for word representation learning. Since subwords increase parameter sharing ability in neural models, their value should be even more pronounced in low-data regimes. In this work, we therefore provide a comprehensive analysis focused on the usefulness of subwords for word representation learning in truly low-resource scenarios and for three representative morphological tasks: fine-grained entity typing, morphological tagging, and named entity recognition. We conduct a systematic study that spans several dimensions of comparison: 1) type of data scarcity which can stem from the lack of task-specific training data, or even from the lack of unannotated data required to train word embeddings, or both; 2) language type by working with a sample of 16 typologically diverse languages including some truly low-resource ones (e.g. Rusyn, Buryat, and Zulu); 3) the choice of the subword-informed word representation method. Our main results show that subword-informed models are universally useful across all language types, with large gains over subword-agnostic embeddings. They also suggest that the effective use of subwords largely depends on the language (type) and the task at hand, as well as on the amount of available data for training the embeddings and task-based models, where having sufficient in-task data is a more critical requirement.",1,1,1,0,0,0,p,b,1,1,i,i,"amh,bam,bxr,eng,fao,gle,got,heb,mlt,myv,rue,tel,tur,yor,zho,zul","amh,bam,eng,fao,gle,got,heb,mlt,myv,tel,tur,yor,zho,zul","amh,bam,bxr,eng,fao,gle,got,heb,mlt,myv,rue,tel,tur,yor,zho,zul","amh,bam,bxm,eng,fao,gle,got,heb,mlt,myv,rue,tel,tur,yor,cmn,zul",16,0.719714285714286,0,1,147,48,0.753846153846154,0
K19-1086,A Simple and Effective Method for Injecting Word-Level Information into Character-Aware Neural Language Models,2019-01-01,https://aclanthology.org/K19-1086/,conll,,"We propose a simple and effective method to inject word-level information into character-aware neural language models. Unlike previous approaches which usually inject word-level information at the input of a long short-term memory (LSTM) network, we inject it into the softmax function. The resultant model can be seen as a combination of character-aware language model and simple word-level language model. Our injection method can also be used together with previous methods. Through the experiments on 14 typologically diverse languages, we empirically show that our injection method, when used together with the previous methods, works better than the previous methods, including a gating mechanism, averaging, and concatenation of word vectors. We also provide a comprehensive comparison of these injection methods.",1,1,1,0,0,0,p,p,0,0,l,n,"ara,ces,deu,eng,est,fin,heb,jpn,mal,por,rus,spa,vie,zho","ara,ces,deu,eng,est,fin,heb,jpn,msa,por,rus,spa,vie,zho","ara,ces,deu,eng,est,fin,heb,jpn,mal,por,rus,spa,vie,zho","arb,ces,deu,eng,ekk,fin,heb,jpn,mal,por,rus,spa,vie,cmn",14,0.621946153846154,0,0,157,38,0.805128205128205,0
2023.dstc-1.21,Exploring Back Translation with Typo Noise for Enhanced Inquiry Understanding in Task-Oriented Dialogue,2023-01-01,https://aclanthology.org/2023.dstc-1.21/,"dstc, ws",,"This paper presents our approach to the DSTC11 Track 5 selection task, which focuses on retrieving appropriate natural language knowledge sources for task-oriented dialogue. We propose typologically diverse back-translation method with typo noise, which could generate various structured user inquries. Through our noised back translation, we augmented inquiries by combining three different typologies of language sources with five different typo noise injections. Our experiments demonstrate that typological variety and typo noise aids the model in generalizing to diverse user inquiries in dialogue. In the competition, where 14 teams participated, our approach achieved the 5th rank for exact matching metric.",1,1,1,0,0,0,p,b,1,1,l,i,"dan,deu,fil,fin,fun,hin,ind,ine,kor,spa,tur,zho","dan,deu,fil,fin,hun,ind,spa,tur,zho","dan,deu,fil,fin,hun,ind,spa,tur,zho","dan,deu,tgl,fin,hun,ind,spa,tur,cmn",9,0.591252777777778,0,0,131,64,0.671794871794872,0
L14-1123,Untrained Forced Alignment of Transcriptions and Audio for Language Documentation Corpora using WebMAUS,2014-01-01,https://aclanthology.org/L14-1123/,lrec,,"Language documentation projects supported by recent funding intiatives have created a large number of multimedia corpora of typologically diverse languages. Most of these corpora provide a manual alignment of transcription and audio data at the level of larger units, such as sentences or intonation units. Their usefulness both for corpus-linguistic and psycholinguistic research and for the development of tools and teaching materials could, however, be increased by achieving a more fine-grained alignment of transcription and audio at the word or even phoneme level. Since most language documentation corpora contain data on small languages, there usually do not exist any speech recognizers or acoustic models specifically trained on these languages. We therefore investigate the feasibility of untrained forced alignment for such corpora. We report on an evaluation of the tool (Web)MAUS (Kisler, 2012) on several language documentation corpora and discuss practical issues in the application of forced alignment. Our evaluation shows that (Web)MAUS with its existing acoustic models combined with simple grapheme-to-phoneme conversion can be successfully used for word-level forced alignment of a diverse set of languages without additional training, especially if a manual prealignment of larger annotation units is already avaible.",1,0,1,0,1,0,,b,0,,,l,,"boa,brg,ctn,eve,msa,nuu,poq,sah,win","boa,brg,ctn,eve,msa,nuu,poq,sah,win","boa,brg,ctn,eve,zsm,nuu,poq,sah,win",9,0.738233333333333,0,3,128,67,0.656410256410256,0
L14-1397,A Database for Measuring Linguistic Information Content,2014-01-01,https://aclanthology.org/L14-1397/,lrec,,"Which languages convey the most information in a given amount of space? This is a question often asked of linguists, especially by engineers who often have some information theoretic measure of information in mind, but rarely define exactly how they would measure that information. The question is, in fact remarkably hard to answer, and many linguists consider it unanswerable. But it is a question that seems as if it ought to have an answer. If one had a database of close translations between a set of typologically diverse languages, with detailed marking of morphosyntactic and morphosemantic features, one could hope to quantify the differences between how these different languages convey information. Since no appropriate database exists we decided to construct one. The purpose of this paper is to present our work on the database, along with some preliminary results. We plan to release the dataset once complete.",1,1,1,1,1,1,b,d,1,0,l,n,"ara,cmn,deu,eng,fra,ita,kor,rus","ara,deu,eng,fra,ita,kor,rus,zho","ara,deu,eng,fra,ita,kor,rus,zho","arb,deu,eng,fra,ita,kor,rus,cmn",8,0.581564285714286,0,0,146,49,0.748717948717949,0
