id,title,year,web_url,venue,track,abstract,has_claim,has_claim_e,has_claim_w,introduces_dataset,introduces_dataset_e,introduces_dataset_w,claim_related_to_e,claim_related_to_w,has_typ_justification_e,has_typ_justification_w,justification_e,justification_w,iso_codes_e,iso_codes_w,iso_codes,isos_wals
2023.sigmorphon-1.20,Findings of the SIGMORPHON 2023 Shared Task on Interlinear Glossing,2023-01-01,https://aclanthology.org/2023.sigmorphon-1.20/,sigmorphon,,"This paper presents the findings of the SIGMORPHON 2023 Shared Task on Interlinear Glossing. This first iteration of the shared task explores glossing of a set of six typologically diverse languages: Arapaho, Gitksan, Lezgi, Natügu, Tsez and Uspanteko. The shared task encompasses two tracks: a resource-scarce closed track and an open track, where participants are allowed to utilize external data resources. Five teams participated in the shared task. The winning team Tü-CL achieved a 23.99%-point improvement over a baseline RoBERTa system in the closed track and a 17.42%-point improvement in the open track.",1,1,0,1,1,1,b,p,1,0,i,n,"arp,ddo,git,lez,ntu,nyb,usp","arp,ddo,git,lez,ntu,nyb,usp","arp,ddo,git,lez,ntu,nyb,usp","arp,ddo,git,lez,ntu,nyb,usp"
L16-1405,Rapid Development of Morphological Analyzers for Typologically Diverse Languages,2016-01-01,https://aclanthology.org/L16-1405/,lrec,,"The Low Resource Language research conducted under DARPA’s Broad Operational Language Translation (BOLT) program required the rapid creation of text corpora of typologically diverse languages (Turkish, Hausa, and Uzbek) which were annotated with morphological information, along with other types of annotation. Since the output of morphological analyzers is a significant aid to morphological annotation, we developed a morphological analyzer for each language in order to support the annotation task, and also as a deliverable by itself. Our framework for analyzer creation results in tables similar to those used in the successful SAMA analyzer for Arabic, but with a more abstract linguistic level, from which the tables are derived. A lexicon was developed from available resources for integration with the analyzer, and given the speed of development and uncertain coverage of the lexicon, we assumed that the analyzer would necessarily be lacking in some coverage for the project annotation. Our analyzer framework was therefore focused on rapid implementation of the key structures of the language, together with accepting “wildcard” solutions as possible analyses for a word with an unknown stem, building upon our similar experiences with morphological annotation with Modern Standard Arabic and Egyptian Arabic.",1,1,1,0,0,0,p,b,1,0,i,n,"hau,tur,uzb","hau,tur,uzb","hau,tur,uzb","hau,tur,uzb"
L16-1515,Legacy language atlas data mining: mapping Kru languages,2016-01-01,https://aclanthology.org/L16-1515/,lrec,,"An online tool based on dialectometric methods, DistGraph, is applied to a group of Kru languages of Côte d’Ivoire, Liberia and Burkina Faso. The inputs to this resource consist of tables of languages x linguistic features (e.g. phonological, lexical or grammatical), and statistical and graphical outputs are generated which show similarities and differences between the languages in terms of the features as virtual distances. In the present contribution, attention is focussed on the consonant systems of the languages, a traditional starting point for language comparison. The data are harvested from a legacy language data resource based on fieldwork in the 1970s and 1980s, a language atlas of the Kru languages. The method on which the online tool is based extends beyond documentation of individual languages to the documentation of language groups, and supports difference-based prioritisation in education programmes, decisions on language policy and documentation and conservation funding, as well as research on language typology and heritage documentation of history and migration.",0,0,0,,,,,,,,,,,,,
N18-1004,A Deep Generative Model of Vowel Formant Typology,2018-01-01,https://aclanthology.org/N18-1004/,naacl,,"What makes some types of languages more probable than others? For instance, we know that almost all spoken languages contain the vowel phoneme /i/; why should that be? The field of linguistic typology seeks to answer these questions and, thereby, divine the mechanisms that underlie human language. In our work, we tackle the problem of vowel system typology, i.e., we propose a generative probability model of which vowels a language contains. In contrast to previous work, we work directly with the acoustic information—the first two formant values—rather than modeling discrete sets of symbols from the international phonetic alphabet. We develop a novel generative probability model and report results on over 200 languages.",0,0,0,,,,,,,,,,,,,
N18-1173,Word Emotion Induction for Multiple Languages as a Deep Multi-Task Learning Problem,2018-01-01,https://aclanthology.org/N18-1173/,naacl,,"Predicting the emotional value of lexical items is a well-known problem in sentiment analysis. While research has focused on polarity for quite a long time, meanwhile this early focus has been shifted to more expressive emotion representation models (such as Basic Emotions or Valence-Arousal-Dominance). This change resulted in a proliferation of heterogeneous formats and, in parallel, often small-sized, non-interoperable resources (lexicons and corpus annotations). In particular, the limitations in size hampered the application of deep learning methods in this area because they typically require large amounts of input data. We here present a solution to get around this language data bottleneck by rephrasing word emotion induction as a multi-task learning problem. In this approach, the prediction of each independent emotion dimension is considered as an individual task and hidden layers are shared between these dimensions. We investigate whether multi-task learning is more advantageous than single-task learning for emotion prediction by comparing our model against a wide range of alternative emotion and polarity induction methods featuring 9 typologically diverse languages and a total of 15 conditions. Our model turns out to outperform each one of them. Against all odds, the proposed deep learning approach yields the largest gain on the smallest data sets, merely composed of one thousand samples.",1,1,1,0,0,0,p,p,0,0,n,n,"deu,eng,ind,ita,nld,pol,por,spa,zho","deu,eng,ind,ita,nld,pol,por,spa,zho","deu,eng,ind,ita,nld,pol,por,spa,zho","deu,eng,ind,ita,nld,pol,por,spa,cmn"
N18-2085,Are All Languages Equally Hard to Language-Model?,2018-01-01,https://aclanthology.org/N18-2085/,naacl,,"For general modeling methods applied to diverse languages, a natural question is: how well should we expect our models to work on languages with differing typological profiles? In this work, we develop an evaluation framework for fair cross-linguistic comparison of language models, using translated text so that all models are asked to predict approximately the same information. We then conduct a study on 21 languages, demonstrating that in some languages, the textual expression of the information is harder to predict with both n-gram and LSTM language models. We show complex inflectional morphology to be a cause of performance differences among languages.",0,0,0,,,,,,,,,,,,,
2023.acl-long.42,Making More of Little Data: Improving Low-Resource Automatic Speech Recognition Using Data Augmentation,2023-01-01,https://aclanthology.org/2023.acl-long.42/,acl,,"The performance of automatic speech recognition (ASR) systems has advanced substantially in recent years, particularly for languages for which a large amount of transcribed speech is available. Unfortunately, for low-resource languages, such as minority languages, regional languages or dialects, ASR performance generally remains much lower. In this study, we investigate whether data augmentation techniques could help improve low-resource ASR performance, focusing on four typologically diverse minority languages or language variants (West Germanic: Gronings, West-Frisian; Malayo-Polynesian: Besemah, Nasal). For all four languages, we examine the use of self-training, where an ASR system trained with the available human-transcribed data is used to generate transcriptions, which are then combined with the original data to train a new ASR system. For Gronings, for which there was a pre-existing text-to-speech (TTS) system available, we also examined the use of TTS to generate ASR training data from text-only sources. We find that using a self-training approach consistently yields improved performance (a relative WER reduction up to 20.5% compared to using an ASR system trained on 24 minutes of manually transcribed speech). The performance gain from TTS augmentation for Gronings was even stronger (up to 25.5% relative reduction in WER compared to a system based on 24 minutes of manually transcribed speech). In sum, our results show the benefit of using self-training or (if possible) TTS-generated data as an efficient solution to overcome the limitations of data availability for resource-scarce languages in order to improve ASR performance.",1,1,1,1,1,0,b,b,0,0,n,n,"fry,gos,nsy,pse","bes,fry,gos,nas","fry,gos,nsy,pse","fry,gos,nsy,pse"
2023.acl-long.120,Extractive is not Faithful: An Investigation of Broad Unfaithfulness Problems in Extractive Summarization,2023-01-01,https://aclanthology.org/2023.acl-long.120/,acl,,"The problems of unfaithful summaries have been widely discussed under the context of abstractive summarization. Though extractive summarization is less prone to the common unfaithfulness issues of abstractive summaries, does that mean extractive is equal to faithful? Turns out that the answer is no. In this work, we define a typology with five types of broad unfaithfulness problems (including and beyond not-entailment) that can appear in extractive summaries, including incorrect coreference, incomplete coreference, incorrect discourse, incomplete discourse, as well as other misleading information. We ask humans to label these problems out of 1600 English summaries produced by 16 diverse extractive systems. We find that 30% of the summaries have at least one of the five issues. To automatically detect these problems, we find that 5 existing faithfulness evaluation metrics for summarization have poor correlations with human judgment. To remedy this, we propose a new metric, ExtEval, that is designed for detecting unfaithful extractive summaries and is shown to have the best performance. We hope our work can increase the awareness of unfaithfulness problems in extractive summarization and help future work to evaluate and resolve these issues.",0,0,0,,,,,,,,,,,,,
2023.acl-long.210,MultiTACRED: A Multilingual Version of the TAC Relation Extraction Dataset,2023-01-01,https://aclanthology.org/2023.acl-long.210/,acl,,"Relation extraction (RE) is a fundamental task in information extraction, whose extension to multilingual settings has been hindered by the lack of supervised resources comparable in size to large English datasets such as TACRED (Zhang et al., 2017). To address this gap, we introduce the MultiTACRED dataset, covering 12 typologically diverse languages from 9 language families, which is created by machine-translating TACRED instances and automatically projecting their entity annotations. We analyze translation and annotation projection quality, identify error categories, and experimentally evaluate fine-tuned pretrained mono- and multilingual language models in common transfer learning scenarios. Our analyses show that machine translation is a viable strategy to transfer RE instances, with native speakers judging more than 83% of the translated instances to be linguistically and semantically acceptable. We find monolingual RE model performance to be comparable to the English original for many of the target languages, and that multilingual models trained on a combination of English and target language data can outperform their monolingual counterparts. However, we also observe a variety of translation and annotation projection errors, both due to the MT systems and linguistic features of the target languages, such as pronoun-dropping, compounding and inflection, that degrade dataset quality and RE model performance.",1,1,1,1,1,1,b,b,1,1,l,l,"ara,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,zho","ara,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,zho","ara,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,zho","arb,deu,fin,fra,hin,hun,jpn,pol,rus,spa,tur,cmn"
2023.acl-long.235,MASSIVE: A 1M-Example Multilingual Natural Language Understanding Dataset with 51 Typologically-Diverse Languages,2023-01-01,https://aclanthology.org/2023.acl-long.235/,acl,,"We present the MASSIVE dataset–Multilingual Amazon Slu resource package (SLURP) for Slot-filling, Intent classification, and Virtual assistant Evaluation. MASSIVE contains 1M realistic, parallel, labeled virtual assistant utterances spanning 51 languages, 18 domains, 60 intents, and 55 slots. MASSIVE was created by tasking professional translators to localize the English-only SLURP dataset into 50 typologically diverse languages from 29 genera. We also present modeling results on XLM-R and mT5, including exact match accuracy, intent classification accuracy, and slot-filling F1 score. We have released our dataset, modeling code, and models publicly.",1,1,1,1,1,1,b,b,0,1,i,i,"afr,amh,ara,aze,ben,cmn,cym,dan,deu,ell,eng,fas,fil,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,msa,mya,nld,nob,pol,por,ron,rus,slv,spa,sqi,swa,swe,tam,tel,tha,tur,urd,vie","afr,amh,ara,aze,ben,cat,cat,cym,dan,deu,ell,eng,fas,fil,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,msa,mya,nld,nor,pol,por,ron,rus,slv,spa,sqi,swa,swe,tam,tel,tha,tur,urd,vie,zho,zho","afr,amh,ara,aze,ben,cat,cmn,cym,dan,deu,ell,eng,fas,fil,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,msa,mya,nld,nob,pol,por,ron,rus,slv,spa,sqi,swa,swe,tam,tel,tha,tur,urd,vie","afr,amh,arb,azj,ben,cat,cmn,cym,dan,deu,ell,eng,pes,tgl,fin,fra,heb,hin,hun,hye,ind,isl,ita,jav,jpn,kan,kat,khm,kor,lav,mal,mon,zsm,mya,nld,nor,pol,por,ron,rus,slv,spa,sqi,swh,swe,tam,tel,tha,tur,urd,vie"
2023.acl-long.337,Using Neural Machine Translation for Generating Diverse Challenging Exercises for Language Learner,2023-01-01,https://aclanthology.org/2023.acl-long.337/,acl,,"We propose a novel approach to automatically generate distractors for cloze exercises for English language learners, using round-trip neural machine translation. A carrier sentence is translated from English into another (pivot) language and back, and distractors are produced by aligning the original sentence with its round-trip translation. We make use of 16 linguistically-diverse pivots and generate hundreds of translation hypotheses in each direction. We show that using hundreds of translations allows us to generate a rich set of challenging distractors. Moreover, we find that typologically unrelated language pivots contribute more diverse candidate distractors, compared to language pivots that are closely related. We further evaluate the use of machine translation systems of varying quality and find that better quality MT systems produce more challenging distractors. Finally, we conduct a study with language learners, demonstrating that the automatically generated distractors are of the same difficulty as the gold distractors produced by human experts.",1,1,1,1,1,0,b,b,0,1,n,f,"ara,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,zho","ara,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,zho","ara,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,zho","arb,bis,ces,chk,deu,fra,hin,ind,ita,mal,nld,rus,spa,urd,vie,cmn"
2023.acl-long.396,Empowering Cross-lingual Behavioral Testing of NLP Models with Typological Features,2023-01-01,https://aclanthology.org/2023.acl-long.396/,acl,,"A challenge towards developing NLP systems for the world’s languages is understanding how they generalize to typological differences relevant for real-world applications. To this end, we propose M2C, a morphologically-aware framework for behavioral testing of NLP models. We use M2C to generate tests that probe models’ behavior in light of specific linguistic features in 12 typologically diverse languages. We evaluate state-of-the-art language models on the generated tests. While models excel at most tests in English, we highlight generalization failures to specific typological characteristics such as temporal expressions in Swahili and compounding possessives in Finish. Our findings motivate the development of models that address these blind spots.",1,1,1,0,0,0,p,b,1,1,i,i,"ara,cmn,deu,eng,fin,fra,ita,rus,slk,spa,swa,swe","ara,deu,eng,fin,fra,ita,rus,slk,spa,swa,swe,zho","ara,cmn,deu,eng,fin,fra,ita,rus,slk,spa,swa,swe","arb,cmn,deu,eng,fin,fra,ita,rus,slk,spa,swh,swe"
2023.acl-long.609,MasakhaPOS: Part-of-Speech Tagging for Typologically Diverse African languages,2023-01-01,https://aclanthology.org/2023.acl-long.609/,acl,,"In this paper, we present AfricaPOS, the largest part-of-speech (POS) dataset for 20 typologically diverse African languages. We discuss the challenges in annotating POS for these languages using the universal dependencies (UD) guidelines. We conducted extensive POS baseline experiments using both conditional random field and several multilingual pre-trained language models. We applied various cross-lingual transfer models trained with data available in the UD. Evaluating on the AfricaPOS dataset, we show that choosing the best transfer language(s) in both single-source and multi-source setups greatly improves the POS tagging performance of the target languages, in particular when combined with parameter-fine-tuning methods. Crucially, transferring knowledge from a language that matches the language family and morphosyntactic properties seems to be more effective for POS tagging in unseen languages.",1,1,1,1,1,1,b,b,1,1,i,l,"bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul","bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul","bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swa,tsn,twi,wol,xho,yor,zul","bam,bbj,ewe,fon,hau,ibo,kin,lug,luo,mos,nya,pcm,sna,swh,tsn,aka,wol,xho,yor,zul"
2023.acl-long.657,SLABERT Talk Pretty One Day: Modeling Second Language Acquisition with BERT,2023-01-01,https://aclanthology.org/2023.acl-long.657/,acl,,"Second language acquisition (SLA) research has extensively studied cross-linguistic transfer, the influence of linguistic structure of a speaker’s native language [L1] on the successful acquisition of a foreign language [L2]. Effects of such transfer can be positive (facilitating acquisition) or negative (impeding acquisition). We find that NLP literature has not given enough attention to the phenomenon of negative transfer. To understand patterns of both positive and negative transfer between L1 and L2, we model sequential second language acquisition in LMs. Further, we build a Mutlilingual Age Ordered CHILDES (MAO-CHILDES)—a dataset consisting of 5 typologically diverse languages, i.e., German, French, Polish, Indonesian, and Japanese—to understand the degree to which native Child-Directed Speech (CDS) [L1] can help or conflict with English language acquisition [L2]. To examine the impact of native CDS, we use the TILT-based cross lingual transfer learning approach established by Papadimitriou and Jurafsky (2020) and find that, as in human SLA, language family distance predicts more negative transfer. Additionally, we find that conversational speech data shows greater facilitation for language acquisition than scripted speech data. Our findings call for further research using our novel Transformer-based SLA models and we would like to encourage it by releasing our code, data, and models.",1,1,1,1,1,0,b,b,0,1,f,l,"deu,fra,ind,jpn,pol","deu,fra,ind,jpn,pol","deu,fra,ind,jpn,pol","deu,fra,ind,jpn,pol"
2023.acl-long.726,A Crosslingual Investigation of Conceptualization in 1335 Languages,2023-01-01,https://aclanthology.org/2023.acl-long.726/,acl,,"Languages differ in how they divide up the world into concepts and words; e.g., in contrast to English, Swahili has a single concept for ‘belly’ and ‘womb’. We investigate these differences in conceptualization across 1,335 languages by aligning concepts in a parallel corpus. To this end, we propose Conceptualizer, a method that creates a bipartite directed alignment graph between source language concepts and sets of target language strings. In a detailed linguistic analysis across all languages for one concept (‘bird’) and an evaluation on gold standard data for 32 Swadesh concepts, we show that Conceptualizer has good alignment accuracy. We demonstrate the potential of research on conceptualization in NLP with two experiments. (1) We define crosslingual stability of a concept as the degree to which it has 1-1 correspondences across languages, and show that concreteness predicts stability. (2) We represent each language by its conceptualization pattern for 83 concepts, and define a similarity measure on these representations. The resulting measure for the conceptual similarity between two languages is complementary to standard genealogical, typological, and surface similarity measures. For four out of six language families, we can assign languages to their correct family based on conceptual similarity with accuracies between 54% and 87%",0,0,0,,,,,,,,,,,,,
